"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Sett","Support",48,"1.6%","1.0%","3.0%","42%","90%",69,173,288,2.1,"57.1%","26.8%","17%",152,145,7.2,1.6,"4.4%",198,"10.3%","9.8%",1.59,0.51
"Sett","Top",9,"0.3%","1.0%","3.0%","67%","89%",38,30,54,3.1,"60.1%","25.4%","22%",828,455,12.3,6.9,"24.8%",493,"20.3%","21.7%",0.39,0.25
"Shen","Support",3,"0.1%","0.1%","0.3%","33%","67%",1,9,28,3.2,"72.5%","22.5%","33%",7,221,2.5,1.5,"3.4%",121,"5.9%","8.7%",1.1,0.58
"Shen","Top",5,"0.2%","0.1%","0.3%","40%","100%",6,18,40,2.6,"78.0%","23.7%","0%",-201,-461,-11.5,6.6,"19.9%",260,"14.4%","17.2%",0.42,0.11
"Shyvana","Top",13,"0.4%","0.4%","0.8%","38%","92%",32,42,62,2.2,"55.6%","20.2%","8%",-311,-205,-1.8,8.7,"25.4%",566,"26.5%","23.0%",0.31,0.25
"Singed","Support",7,"0.2%","0.1%","0.4%","86%","100%",2,18,53,3.1,"58.5%","31.0%","14%",71,150,20.1,2.6,"6.5%",120,"5.7%","9.6%",1.05,0.26
"Sion","Jungle",6,"0.2%","4.8%","14.5%","50%","50%",5,13,37,3.2,"65.6%","21.7%","33%",-52,-98,-3.3,5.6,"14.8%",222,"9.9%","16.5%",0.34,0.36
"Sion","Middle",2,"0.1%","4.8%","14.5%","50%","50%",3,3,15,6,"85.7%","15.0%","-","-","-","-",8.5,"-",236,"15.6%","21.7%",0.39,0.27
"Sion","Top",287,"9.4%","4.8%","14.5%","49%","54%",376,691,1601,2.9,"56.5%","19.8%","7%",-181,-26,-6.3,7.3,"21.1%",422,"20.0%","19.2%",0.37,0.16
"Sivir","ADC",228,"7.4%","3.8%","11.2%","49%","68%",785,492,1188,4,"72.7%","17.6%","12%",-117,-52,-0.9,10.2,"35.6%",655,"29.8%","28.0%",0.41,0.37
"Skarner","Jungle",28,"0.9%","0.7%","1.6%","57%","86%",34,66,219,3.8,"73.1%","21.2%","18%",-96,-28,-0.6,5,"11.3%",161,"7.9%","15.3%",0.67,0.45
"Sona","Support",15,"0.5%","0.0%","0.5%","53%","100%",14,36,127,3.9,"84.4%","19.3%","20%",162,164,2,0.6,"2.1%",188,"9.7%","10.3%",1.57,0.38
"Soraka","Middle",1,"0.0%","0.2%","1.0%","100%","100%",0,3,11,3.7,"64.7%","27.3%","0%",-334,250,-22,5.1,"10.7%",121,"7.4%","12.4%",0.39,0.15
"Soraka","Support",25,"0.8%","0.2%","1.0%","48%","100%",9,61,213,3.6,"76.8%","21.4%","24%",84,15,-2.8,0.7,"2.2%",138,"6.6%","9.1%",1.39,0.38
"Swain","Middle",88,"2.9%","2.5%","5.5%","51%","66%",185,234,600,3.4,"76.2%","21.8%","3%",-142,-29,-2.2,7.7,"22.5%",499,"24.1%","20.9%",0.36,0.23
"Swain","Top",4,"0.1%","2.5%","5.5%","50%","100%",5,6,27,5.3,"66.7%","13.3%","0%",-374,-242,-5.5,8.9,"27.8%",582,"30.6%","22.8%",0.48,0.16
"Sylas","Jungle",3,"0.1%","17.5%","29.6%","33%","100%",6,7,15,3,"70.0%","20.6%","-","-","-","-",6.1,"-",327,"15.3%","18.5%",0.51,0.49
"Sylas","Middle",349,"11.4%","17.5%","29.6%","56%","52%",1161,792,1741,3.7,"64.5%","19.6%","12%",-61,-63,-4.2,8.4,"25.4%",473,"22.7%","23.2%",0.28,0.23
"Sylas","Top",18,"0.6%","17.5%","29.6%","61%","100%",71,47,91,3.4,"60.4%","23.2%","17%",-139,82,-7.3,7.5,"26.9%",472,"23.5%","22.6%",0.39,0.18
"Syndra","ADC",1,"0.0%","6.3%","12.2%","100%","100%",4,3,5,3,"52.9%","30.0%","0%",-204,102,-2,9.1,"25.9%",415,"22.1%","22.3%",0.54,0.35
"Syndra","Middle",178,"5.8%","6.3%","12.2%","44%","65%",482,457,789,2.8,"64.7%","21.0%","6%",11,-23,3.1,8.4,"24.0%",531,"27.1%","22.8%",0.41,0.19
"Tahm Kench","Support",330,"10.8%","7.6%","18.4%","51%","45%",247,858,2169,2.8,"62.7%","22.4%","16%",76,98,12.8,2.3,"4.5%",160,"8.1%","10.7%",1.32,0.24
"Taliyah","Jungle",11,"0.4%","10.8%","19.8%","45%","18%",39,27,77,4.3,"76.8%","16.4%","18%",140,126,5.7,8.5,"24.9%",671,"28.5%","23.2%",0.36,0.36
